"","simu","n","p","omega_structure","zi_type","zi_config","method","criterion","omega_rmse","AUC","rmse_fit","fallout","recall","precision","f1_score","time"
"80","10","300","20","erdos_renyi","sites","sites_2","ZIPLN","BIC","0.08","0.7564085","0.556670326387985","0.023","0.467","0.636","0.538","29.024582862854"
"81","11","300","20","erdos_renyi","sites","sites_2","PLN","BIC","0.09","0.82765","0.540902093550557","0","0",NA,"0","2.41038417816162"
"82","11","300","20","erdos_renyi","sites","sites_2","ZIPLN","BIC","0.08","0.79785","0.578468106892988","0.006","0.6","0.857","0.706","45.6582441329956"
"83","12","300","20","erdos_renyi","sites","sites_2","PLN","BIC","0.11","0.7755735","0.528914566153122","0","0.231","1","0.375","1.80288648605347"
"84","12","300","20","erdos_renyi","sites","sites_2","ZIPLN","BIC","0.09","0.770001","0.561215236838142","0.079","0.692","0.391","0.5","43.3040344715118"
"85","13","300","20","erdos_renyi","sites","sites_2","PLN","BIC","0.06","0.687625","0.504936134165383","0","0.375","1","0.545","1.75319004058838"
"86","13","300","20","erdos_renyi","sites","sites_2","ZIPLN","BIC","0.05","0.65475","0.538464767110945","0.022","0.625","0.556","0.588","1.04404375155767"
"87","14","300","20","erdos_renyi","sites","sites_2","PLN","BIC","0.06","0.7510415","0.527700300373674","0","0.143","1","0.25","1.66182899475098"
"88","14","300","20","erdos_renyi","sites","sites_2","ZIPLN","BIC","0.05","0.8054675","0.557589278316751","0","0.143","1","0.25","1.08414314190547"
"89","15","300","20","erdos_renyi","sites","sites_2","PLN","BIC","0.08","0.839195","0.53935678208233","0","0",NA,"0","1.27638006210327"
"90","15","300","20","erdos_renyi","sites","sites_2","ZIPLN","BIC","0.06","0.756475","0.569925127066291","0.006","0.556","0.833","0.667","1.03708258072535"
"91","16","300","20","erdos_renyi","sites","sites_2","PLN","BIC","0.08","0.78475","0.521932068142368","0","0",NA,"0","1.10516047477722"
"92","16","300","20","erdos_renyi","sites","sites_2","ZIPLN","BIC","0.06","0.7851875","0.557752753839584","0.005","0.625","0.833","0.714","32.5968153476715"
"93","17","300","20","erdos_renyi","sites","sites_2","PLN","BIC","0.1","0.686286","0.520902513975218","0.006","0.357","0.833","0.5","1.88286089897156"
"94","17","300","20","erdos_renyi","sites","sites_2","ZIPLN","BIC","0.09","0.738674","0.563587549163147","0.006","0.429","0.857","0.571","1.10598928928375"
"95","18","300","20","erdos_renyi","sites","sites_2","PLN","BIC","0.1","0.756158","0.566936863702545","0","0.077","1","0.143","2.70166230201721"
"96","18","300","20","erdos_renyi","sites","sites_2","ZIPLN","BIC","0.09","0.743371","0.617946928030211","0.006","0.154","0.667","0.25","59.4887375831604"
"97","19","300","20","erdos_renyi","sites","sites_2","PLN","BIC","0.07","0.654055","0.5387407999368","0","0",NA,"0","2.91005229949951"
"98","19","300","20","erdos_renyi","sites","sites_2","ZIPLN","BIC","0.05","0.681273","0.596028562144343","0","0",NA,"0","1.20254082679749"
"99","20","300","20","erdos_renyi","sites","sites_2","PLN","BIC","0.06","0.797721","0.509783157753116","0","0",NA,"0","3.56780576705933"
"100","20","300","20","erdos_renyi","sites","sites_2","ZIPLN","BIC","0.04","0.8769125","0.544911162032927","0.022","0.857","0.6","0.706","1.21332350174586"
"101","21","300","20","erdos_renyi","sites","sites_2","PLN","BIC","0.07","0.5443","0.518313871158605","0","0",NA,"0","3.18625688552856"
